Reactant ID,Reactant SMILES,Product ID,Product SMILES,Catalyst ID,Catalyst Designation,Standard Catalyst Mixture,Mixture Change Note,Solvent 1 ID,Solvent 1 SMILES,Solvent 2 ID,Solvent 2 SMILES,Sol1_Sol2_Ratio,Oxidant ID,Oxidant SMILES,Oxidant Solution ID,Oxidant Solution SMILES,Ox/Ox_Sol,Additive ID,Additive SMILES,Temperature ©,Time,Yield (%),ee (%),er,ddG er (kcal/mol),Multiple Stereocenters,de (%),dr,ddG dr (kcal/mol),Olefin Type,DOI,Additional Notes
react_689,CCOC(=O)/C=C/C(C)(C)CSc1ccccc1,prod_875,CCOC(=O)[C@H](O)[C@@H](O)C(C)(C)CSc1ccccc1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,Not Reported,Not Reported,Not Reported,79.0,8.523809524,,Yes,,,,trans_di,375_430,
react_690,CCCCCCCCCCCC/C=C/CO,prod_876,CCCCCCCCCCCC[C@H](O)[C@@H](O)CO,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,Not Reported,Not Reported,96.0,49.0,2.11233067,Yes,,,,trans_di,376_350,
react_691,C/C=C/CP(=O)(c1ccccc1)c1ccccc1,prod_877,C[C@H](O)[C@@H](O)CP(=O)(c1ccccc1)c1ccccc1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,Not Reported,84,10.0,1.222222222,0.108916351,Yes,,,,trans_di,376_120,
react_692,CC(C)(C)OC(=O)CC/C=C/CCC(=O)OC(C)(C)C,prod_878,CC(C)(C)OC(=O)CC[C@@H](O)[C@H](O)CCC(=O)OC(C)(C)C,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,24,95,98.0,99.0,2.494054671,Yes,,,,trans_di,377_110,
react_693,O=C(/C=C/c1ccccc1)OCc1ccccc1,prod_879,O=C(OCc1ccccc1)[C@@H](O)[C@H](O)c1ccccc1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,Not Reported,62,94.0,32.33333333,1.886692938,Yes,,,,trans_di,377_365,
react_693,O=C(/C=C/c1ccccc1)OCc1ccccc1,prod_880,O=C(OCc1ccccc1)[C@H](O)[C@@H](O)c1ccccc1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,Not Reported,71,90.0,19.0,1.598128455,Yes,,,,trans_di,377_365,
react_694,FC(F)(F)c1ccc(/C=C/c2ccc(C(F)(F)F)cc2)cc1,prod_881,O[C@H](c1ccc(C(F)(F)F)cc1)[C@H](O)c1ccc(C(F)(F)F)cc1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,Not Reported,79,82.0,10.11111111,1.25575223,Yes,,,,trans_di,378_412,
react_695,Cc1ccc(/C=C/c2ccc(C)cc2)cc1,prod_882,Cc1ccc([C@@H](O)[C@H](O)c2ccc(C)cc2)cc1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,Not Reported,87,91.0,21.22222222,1.658163248,Yes,,,,trans_di,378_412,
react_696,O=C(/C=C/c1ccccc1)NCc1ccccc1,prod_883,O=C(NCc1ccccc1)[C@H](O)[C@@H](O)c1ccccc1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,18,88,96.0,49.0,2.11233067,Yes,,,,trans_di,379_355,
react_697,COc1ccc(NC(=O)/C=C/c2ccccc2)cc1,prod_884,COc1ccc(NC(=O)[C@H](O)[C@@H](O)c2ccccc2)cc1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,24,88,94.0,32.33333333,1.886692938,Yes,,,,trans_di,379_355,
