Reactant ID,Reactant SMILES,Product ID,Product SMILES,Catalyst ID,Catalyst Designation,Standard Catalyst Mixture,Mixture Change Note,Solvent 1 ID,Solvent 1 SMILES,Solvent 2 ID,Solvent 2 SMILES,Sol1_Sol2_Ratio,Oxidant ID,Oxidant SMILES,Oxidant Solution ID,Oxidant Solution SMILES,Ox/Ox_Sol,Additive ID,Additive SMILES,Temperature ©,Time,Yield (%),ee (%),er,ddG er (kcal/mol),Multiple Stereocenters,de (%),dr,ddG dr (kcal/mol),Olefin Type,DOI,Additional Notes
react_9,CCCC/C=C/C(=O)OCC,prod_13,CCCC[C@@H](O)[C@H](O)C(=O)OCC,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,25,Not Reported,Not Reported,99,199,3.135953679,Yes,,,,Trans,10.1021/jo00036a003,
react_9,CCCC/C=C/C(=O)OCC,prod_14,CCCC[C@H](O)[C@@H](O)C(=O)OCC,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,25,Not Reported,Not Reported,96,49,2.305661319,Yes,,,,Trans,10.1021/jo00036a003,
react_10,CCOC(=O)/C=C/c1ccccc1,prod_15,CCOC(=O)[C@@H](O)[C@H](O)c1ccccc1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,25,Not Reported,Not Reported,97,65.66666667,2.47911,Yes,,,,Trans,10.1021/jo00036a003,
react_10,CCOC(=O)/C=C/c1ccccc1,prod_16,CCOC(=O)[C@H](O)[C@@H](O)c1ccccc1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,25,Not Reported,Not Reported,95,39,2.170432273,Yes,,,,Trans,10.1021/jo00036a003,
react_11,C(=C/c1ccccc1)\c1ccccc1,prod_17,O[C@H](c1ccccc1)[C@H](O)c1ccccc1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,0,Not Reported,Not Reported,99.5,399,3.25057837,No,,,,Trans,10.1021/jo00036a003,
react_11,C(=C/c1ccccc1)\c1ccccc1,prod_18,O[C@@H](c1ccccc1)[C@@H](O)c1ccccc1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,0,Not Reported,Not Reported,99.5,399,3.25057837,No,,,,Trans,10.1021/jo00036a003,
react_12,C=C(C)CCCCC,prod_19,CCCCC[C@@](C)(O)CO,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,Not Reported,78,8.090909091,1.134774014,No,,,,Gem,10.1021/jo00036a003,
react_12,C=C(C)CCCCC,prod_20,CCCCC[C@](C)(O)CO,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,Not Reported,76,7.333333333,1.081414614,No,,,,Gem,10.1021/jo00036a003,recorded 74 and 71 in OR p 286
react_13,C=C(C)c1ccccc1,prod_21,C[C@](O)(CO)c1ccccc1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,Not Reported,94,32.33333333,1.886692938,No,,,,Gem,10.1021/jo00036a003,also recorded as 97 in OR p 287
react_13,C=C(C)c1ccccc1,prod_22,C[C@@](O)(CO)c1ccccc1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,Not Reported,93,27.57142857,1.800220891,No,,,,Gem,10.1021/jo00036a003,
react_14,C=CCCCCCCCC,prod_995,CCCCCCCC[C@@H](O)CO,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,Not Reported,84,11.5,1.325612221,No,,,,Mono,10.1021/jo00036a003,
react_14,C=CCCCCCCCC,prod_23,CCCCCCCC[C@H](O)CO,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,Not Reported,80,9,1.19256916,No,,,,Mono,10.1021/jo00036a003,
react_15,C=Cc1ccccc1,prod_24,OC[C@H](O)c1ccccc1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,Not Reported,97,65.66666667,2.271235608,No,,,,Mono,10.1021/jo00036a003,
react_15,C=Cc1ccccc1,prod_25,OC[C@@H](O)c1ccccc1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,Not Reported,97,65.66666667,2.271235608,No,,,,Mono,10.1021/jo00036a003,
react_16,C=CC(=O)Cc1ccccc1,prod_26,O=C(Cc1ccccc1)[C@@H](O)CO,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,Not Reported,77,7.695652174,1.107589484,No,,,,Mono,10.1021/jo00036a003,
react_16,C=CC(=O)Cc1ccccc1,prod_27,O=C(Cc1ccccc1)[C@H](O)CO,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,Not Reported,70,5.666666667,0.94147487,No,,,,Mono,10.1021/jo00036a003,
react_17,C=CCOc1cccc2ccccc12,prod_28,OC[C@H](O)COc1cccc2ccccc12,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,Not Reported,91,21.22222222,1.658163248,No,,,,Mono,10.1021/jo00036a003,
react_17,C=CCOc1cccc2ccccc12,prod_29,OC[C@@H](O)COc1cccc2ccccc12,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,Not Reported,88,15.66666667,1.49342775,No,,,,Mono,10.1021/jo00036a003,
react_18,C=Cc1cccc(OC)c1,prod_30,COc1cccc([C@H](O)CO)c1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,99,99,199,2.873002675,No,,,,Mono,10.1016/S0957-4166(98)00200-6,
