react_id,b1_0,b5_0,l_0,vol_0,espmin_0,espmax_0,b1_1,b5_1,l_1,vol_1,espmin_1,espmax_1,ddG er (kcal/mol)
react_100,1.664794672045468,1.6648256999870197,2.354506459797568,5.651470746026386,67.2992263946831,150.65870542781136,1.6542442465916989,7.525129993182674,6.787430849476644,79.7956261312321,26.481916219890724,140.5901716077775,0.553693199292111
react_101,1.664709412211061,1.6648169889413955,2.354514534785343,5.651133208581501,67.11172838512337,147.79650133118926,1.6563318011556647,7.426607856173277,4.94165523532712,58.25901826586561,37.01228885148544,146.37459016306687,0.4992285308022431
react_102,1.6648406044373036,1.664852011440812,2.3545060181912327,5.651725151045159,66.94820406107205,149.90058092960513,1.6472222232442828,6.805252109385656,4.5575222693144,50.32641429889445,13.2262204539319,155.37572968607125,0.1640664539823468
react_103,1.664724723555397,1.6648750798217753,2.354490065723916,5.651294914970102,67.65359548729614,150.4559394853614,1.6792307797015695,7.557997413668673,5.0910718670960105,55.89442652063687,23.411461183301057,151.38625396238206,0.5261534118295111
react_104,1.8114728105398543,3.101857728683513,6.0631329213973375,0.0024010792358153,48.96798485944214,143.49834365954746,1.6591757883805738,2.907469879718363,2.9071789691935503,12.20327963427891,49.43194810431034,156.2608650500976,1.493427750076506
react_105,1.664757307879583,1.6648809195112628,2.354420490798784,5.651269598827872,66.83682891144196,149.07206769024597,1.6591978268453282,2.907425680307548,2.907190409116548,12.203625397971347,52.124569021954144,152.75974166805352,0.459880754927536
react_106,1.664788464727418,1.664815957646187,2.35455111577562,5.651465352774284,67.29218385591251,149.95150727632412,2.178113171467845,2.178294204850188,2.725115307394491,11.197883291726022,50.423835818459615,169.51257117360348,0.1419211443869956
react_107,1.8334999363545936,4.350118975565762,5.8775665342808905,6.080188599056106,17.046880128968628,155.09380141607662,1.6647398013999166,1.66481455377218,2.354512613851872,5.651417833043822,67.24628348353453,148.96008222490633,1.8002208906687178
react_108,1.3801365082193249,2.9853547361897474,8.228781197170427,25.94544121634808,23.397149512090625,145.184037908357,1.6648016997556507,1.6648442143303777,2.354425745122416,5.651328186482035,67.27367929193213,147.2851341385044,2.651566339081276
react_109,1.2081895111262697,3.2121127361334447,7.328412014415095,23.76676358197943,46.06209851091306,145.32990606123002,1.664763478523021,1.6647663532466983,2.3544448326421343,5.6509862281166106,67.18378128138804,151.03597290570673,2.494054670518096
react_110,1.6854751836096722,4.340447154435958,5.303526507873596,18.97806951663749,36.74803570345509,152.0127621145224,1.6837861949861972,4.425777858205635,3.714713142507892,27.12259636830789,47.28872515547869,144.28300923550358,0.5126175079350523
react_111,0.0001906820612486,3.1017614491660255,6.063181968393316,0.0035813083111803,48.863358323147374,144.4353041521053,2.1781339709518788,2.178240584365592,2.725063945043413,11.19725709683653,50.39217576946542,161.4588779518858,1.332788305623397
react_112,2.6989909432806107,3.1017884927293498,6.063052081424317,0.0006466083364447,48.85789365693658,147.71911002361895,1.6439769165390976,3.201379964284444,2.9433647554124964,13.644824046995048,66.93872107522556,156.77418191470267,1.4470889050346116
react_113,1.681659522817544,5.823217563592536,6.244024379237302,42.89650281166643,13.042025779718871,153.43644762841933,1.6821969611820449,3.092128302350577,3.6948561170998655,10.824826522666951,55.72752326010673,145.63014304949976,0.1198926926472302
