,b1_0,b5_0,l_0,vol_0,espmin_0,espmax_0,b1_1,b5_1,l_1,vol_1,espmin_1,espmax_1,b1_2,b5_2,l_2,vol_2,espmin_2,espmax_2,b1_3,b5_3,l_3,vol_3,espmin_3,espmax_3,homo,lumo,nat_charge_1,nat_charge_2,pert_1,pert_2,pert_3,pi_orb,pi*_orb,disp_1_0,disp_2_0,disp_3_0,disp_4_0,disp_5_0,disp_6_0,disp_7_0,disp_8_0,disp_9_0,disp_10_0,disp_1_1,disp_2_1,disp_3_1,disp_4_1,disp_5_1,disp_6_1,disp_7_1,disp_8_1,disp_9_1,disp_10_1,Olefin Type,ddG er (kcal/mol)
react_0,1.6855726263395094,3.645774844926293,3.0130860587603543,15.76797154685701,14.87796487169486,163.90366902482378,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,1.664709412211061,1.6648169889413955,2.354514534785343,5.651133208581501,67.11172838512337,147.79650133118926,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-7.3085,-0.1313,-0.21503,-0.1812,4.93,4.79,4.01,-0.33621,0.10867,140.10925,32.60775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.729375,27.7975,23.58,6.610125,0.0,0.0,0.0,0.0,0.0,0.0,trans_di,1.4039556858223057
react_2,1.6831034439048709,4.837526842538547,3.737586845041007,30.177258009209496,53.21507304945506,146.52013433280104,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-7.0097,0.0942,-0.19358,-0.42429,5.46,4.73,4.52,-0.26757,0.05404,114.35157692307692,41.102769230769226,61.10023076923077,110.24603846153846,7.313076923076922,0.0,0.0,0.0,0.0,0.0,90.07292307692306,19.667653846153847,68.28226923076922,75.28038461538462,66.1851923076923,14.62526923076923,0.0,0.0,0.0,0.0,mono,0.8539291891304376
react_5,1.6865633115925909,6.245409087763405,7.788965465218613,77.42651948051729,-8.290511844016226,149.22644826006976,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-6.9504,0.5036,-0.19356,-0.4247,4.67,4.66,4.6,-0.26345,0.05768,115.35212747252744,22.94185934065934,27.59935604395601,33.31742857142857,25.86982197802197,17.623780219780222,3.4124857142857183,1.2210087912087906,0.0034,0.0,90.10337802197805,23.874142857142846,29.572362637362644,33.46836923076923,30.77142857142857,21.50323076923077,12.914967032967038,3.902819780219782,1.124982417582417,0.1055868131868131,mono,1.988440635339029
react_6,1.6647704744257186,1.6648409113316414,2.3543730341118483,5.651104418805099,67.19820628080856,152.13269398327176,1.6803822507437975,5.182489766626135,3.717004262023273,30.38833175909537,44.50854526883649,149.98045491563855,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,1.6647704744257186,1.6648409113316414,2.3543730341118483,5.651104418805099,67.19820628080856,152.13269398327176,-6.2254,0.7339,-0.01915,-0.21466,6.37,4.38,4.31,-0.2468,0.08145,142.72397619047624,18.378785714285723,36.398809523809526,23.567071428571428,7.956952380952383,1.3331190476190475,0.0,0.0,0.0,0.0,156.21285714285716,43.138309523809525,19.56311904761905,10.766476190476183,0.677952380952381,0.0,0.0,0.0,0.0,0.0,tri,2.2412476529285623
react_8,1.6813718192461595,4.985501938100517,3.72505335283145,31.12171976422473,40.404776915743,145.06267964783365,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,1.680181420986992,5.182466945913837,3.7171630057595513,30.38638778319267,40.31532092286888,146.77384845929953,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-6.4804,0.6106,-0.20211,-0.2113,4.84,4.47,4.1,-0.25367,0.07193,135.1326849315068,45.90546379647749,50.54598825831702,37.26354794520552,13.657027397260288,1.4385714285714284,0.0,0.0,0.0,0.0,135.2046555772995,45.213802348336586,51.55031702544031,37.1218277886497,13.39460078277888,1.4580802348336597,0.0,0.0,0.0,0.0,trans_di,2.0357282492026565
react_12,1.6498665985279066,3.316701969809841,6.109719384471276,10.888256849311746,42.86830768045943,145.85068890799533,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,1.6647883237152823,1.6648539272409792,2.354534491914427,5.651611909435312,67.10147243311297,146.61560186638818,-6.5782,0.5745,-0.01235,-0.41745,5.6,5.48,4.31,-0.25386,0.06885,142.34765909090908,22.233272727272727,25.09840909090909,29.02299999999999,8.921045454545458,2.75675,0.1745454545454545,0.0,0.0,0.0,110.75445454545452,38.41554545454546,19.919431818181817,31.85879545454546,21.151181818181826,7.1285,1.2685454545454546,0.0582272727272727,0.0,0.0,gem_di,1.097211652782688
react_14,1.687398063802975,5.414497007601437,10.112300461598402,55.310004023237504,31.09941791562385,144.5011797196552,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-6.9081,0.4662,-0.19681,-0.40907,5.16,4.63,4.38,-0.26171,0.05996,115.45724897959182,24.393368707482963,26.21791564625848,37.58313333333334,29.827680272108875,25.52931700680269,15.281755102040815,7.178658503401358,2.4300585034013595,0.2151020408163266,90.01074693877551,22.6302149659864,32.705368707483004,36.546448979591815,33.12347482993197,26.986148299319748,20.90820680272108,12.6991387755102,6.528578231292517,1.9759115646258496,mono,1.27330006617887
react_20,1.6833949678079805,13.803651071997017,3.716137452405956,85.39923321247882,-20.59418463112716,147.64305474645911,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-6.9613,0.4927,-0.1942,-0.42412,5.42,4.68,4.64,-0.33604,0.10863,115.37442921686753,27.077879518072283,33.771085843373505,45.75606024096383,38.71780572289168,37.23024096385545,23.73335542168675,16.580459337349406,12.449609939759036,9.932876506024092,90.06469427710844,28.003703313252984,38.44818825301207,39.50990512048199,41.92707680722896,36.047396084337365,30.96698042168675,21.09465813253012,16.2077093373494,18.35349096385544,mono,1.4470889050346116
react_37,1.305517472404497,5.992124056691861,6.746770311723889,52.73690617429757,-4.564872162813356,149.4448381842827,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,1.6873392610902125,3.251318113681352,6.008534164009376,29.522391089132505,42.03627618376046,143.97029767274486,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-6.0047,-0.4048,-0.29672,-0.14421,4.77,4.75,4.42,-0.26101,0.05779,150.44267690058476,22.623555555555583,53.1880891812866,70.39945760233918,26.7716067251462,25.749785087719243,11.305141812865504,3.348976608187133,0.0169356725146198,0.0,143.4607690058479,55.60977777777773,25.684793859649098,51.66985233918127,38.443461988304094,17.354852339181292,22.60461842105264,6.122697368421052,2.881837719298244,0.0135643274853801,trans_di,1.8866929383908122
react_43,1.6567799678409052,6.701432209277966,4.249064532542278,45.802300670394125,34.79013418483899,148.0585384922808,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,1.68097797298382,5.222812937140414,3.72426905462566,28.88603151425082,45.34603835694986,146.48610813385207,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-6.6682,0.382,-0.22149,-0.19333,4.78,4.59,3.77,-0.25756,0.0707,131.9235266030013,102.3150791268758,94.5502196452932,106.1150818553888,63.795770804911285,18.899849931787188,2.239525238744887,0.0941432469304229,0.0,0.0,132.16106821282395,53.4307735334243,139.56558663028645,82.46985948158252,71.23088676671208,35.47484311050476,5.432373806275575,0.1678049113233287,0.0,0.0,trans_di,2.127797121815282
