,b1,b5,l,espmin,espmax,b1_min_b5,b1_dot_b5,b1_add_b5,ddG er (kcal/mol)
react_1,1.446943946993725,3.036744029743056,6.042562955607844,12.38870753651932,156.89436610500954,-1.589800082749331,4.393998392406048,4.483687976736781,1.886692938390812
react_2,1.6886559082078831,3.2185092269571536,5.654304640417105,45.07973281369924,151.67140800755303,-1.5298533187492704,5.434954621722784,4.9071651351650365,0.8416047555871515
react_3,0.9734823329081658,2.872012177800761,5.35427467814436,51.04607144687834,143.5037167093758,-1.8985298448925954,2.7958531149861465,3.8454945107089267,1.7249256291987816
react_3,0.9734823329081658,2.872012177800761,5.35427467814436,51.04607144687834,143.5037167093758,-1.8985298448925954,2.7958531149861465,3.8454945107089267,1.5981284553068844
react_4,0.0744807911627176,5.65314411946652,6.060941645067754,39.03493585584875,147.49938325323328,-5.5786633283038025,0.42105064657473096,5.727624910629238,3.2505783702049342
react_5,1.6865276094397172,6.830130625201649,7.776590305530837,-7.481391094536122,145.76465309273107,-5.143603015761932,11.519203875482338,8.516658234641366,1.988440635339029
react_14,1.6800143454970022,9.37664954957838,3.717151639231609,27.443550761275297,149.83601039349787,-7.696635204081377,15.752905755989682,11.056663895075381,1.3256122210632166
react_14,1.6800143454970022,9.37664954957838,3.717151639231609,27.443550761275297,149.83601039349787,-7.696635204081377,15.752905755989682,11.056663895075381,1.1925691598929764
react_15,0.0004268268605638,3.101821780203387,6.063096156109912,48.82978895109185,147.83302715135702,-3.1013949533428233,0.001323940852472629,3.1022486070639506,2.271235607736596
react_15,0.0004268268605638,3.101821780203387,6.063096156109912,48.82978895109185,147.83302715135702,-3.1013949533428233,0.001323940852472629,3.1022486070639506,2.271235607736596
react_16,1.8505088563536003,7.058453626307248,3.852940591366892,30.79336322431605,148.27294881419226,-5.207944769953648,13.061730947642749,8.908962482660849,1.1075894836747928
react_16,1.8505088563536003,7.058453626307248,3.852940591366892,30.79336322431605,148.27294881419226,-5.207944769953648,13.061730947642749,8.908962482660849,0.94147487006162
react_17,1.6930727357375166,7.59996909818696,7.702307555499063,30.32609237703675,144.88271808974756,-5.906896362449443,12.867300472587983,9.293041833924477,1.6581632477531376
react_17,1.6930727357375166,7.59996909818696,7.702307555499063,30.32609237703675,144.88271808974756,-5.906896362449443,12.867300472587983,9.293041833924477,1.493427750076506
react_18,3.1031907279828546,5.170030850656419,6.054795145554154,24.09540496338421,144.8716175099919,-2.066840122673564,16.04359179914231,8.273221578639273,2.8730026748254267
react_19,2.452949746151502,5.198036916977613,7.934501203737916,11.417555057010848,144.0595462737395,-2.745087170826111,12.750523335986372,7.650986663129116,2.271235607736596
react_20,1.6796450699336958,8.10125746524117,7.838033696600846,-20.47375790841053,144.03259932286505,-6.421612395307474,13.607237161755881,9.780902535174866,1.4470889050346116
react_21,1.6565748101827946,8.60226142184575,6.783926365798394,31.26326346177236,149.78136354313716,-6.945686611662955,14.250289582036899,10.258836232028544,0.8230152121319365
react_22,1.683459326659075,11.50651524244691,3.71609455203114,-19.42178101702687,146.5023665276882,-9.823055915787837,19.37075040224206,13.189974569105985,1.4039556858223057
react_23,3.0781072983747846,6.34979570992042,6.50372528407045,43.79684693319231,138.7673905736042,-3.271688411545635,19.54535251789494,9.427903008295203,2.5830854507418013
react_24,1.675879039748352,5.980692050844755,9.80195608605172,17.5846209171261,142.98010994449805,-4.304813011096403,10.022916451200311,7.656571090593108,0.3005421108594009
react_25,1.6812727681942428,11.885724298423389,3.7255420647780895,2.419430654254046,144.29315223580957,-10.204451530229147,19.983144593203864,13.566997066617631,1.543533564108471
react_26,1.6797300649222155,11.29032794934667,5.463326332192911,-15.856650476876782,144.5074327260119,-9.610597884424454,18.964703299349186,12.970058014268886,1.5981284553068844
react_27,1.6558939578812384,9.38771831738869,5.031342744071569,15.771213431147812,144.41978333289904,-7.731824359507451,15.545066040054957,11.043612275269927,0.3241006147030766
react_28,1.6810078976701048,15.507670841359078,3.724796655336888,6.760301514929835,142.93029774084127,-13.826662943688973,26.068517158793007,17.188678739029182,1.5981284553068844
react_29,1.6876527445655591,17.882099306174585,4.582440955191147,-14.824337661470333,143.68489914988476,-16.194446561609027,30.178773972659418,19.569752050740142,1.3256122210632166
react_30,2.4565814530561094,8.930936597484028,8.349755850577024,5.793044112197341,142.75446657558203,-6.474355144427918,21.9395732037993,11.387518050540137,1.4470889050346116
react_79,1.683933511171592,4.425591501643895,3.7148685369938335,53.61298552612957,151.20087561705768,-2.7416579904723033,7.452401836374363,6.109525012815487,1.163063982201545
react_80,1.6897709549438948,3.412654916377794,3.211142806612351,68.87478614283371,154.67856942705393,-1.722883961433899,5.766605156941682,5.102425871321689,0.8048244472990138
