,b1,b5,l,vol,espmin,espmax,b1^2,b1 b5,b1 l,b1 vol,b1 espmin,b1 espmax,b5^2,b5 l,b5 vol,b5 espmin,b5 espmax,l^2,l vol,l espmin,l espmax,vol^2,vol espmin,vol espmax,espmin^2,espmin espmax,espmax^2,b1^3,b1^2 b5,b1^2 l,b1^2 vol,b1^2 espmin,b1^2 espmax,b1 b5^2,b1 b5 l,b1 b5 vol,b1 b5 espmin,b1 b5 espmax,b1 l^2,b1 l vol,b1 l espmin,b1 l espmax,b1 vol^2,b1 vol espmin,b1 vol espmax,b1 espmin^2,b1 espmin espmax,b1 espmax^2,b5^3,b5^2 l,b5^2 vol,b5^2 espmin,b5^2 espmax,b5 l^2,b5 l vol,b5 l espmin,b5 l espmax,b5 vol^2,b5 vol espmin,b5 vol espmax,b5 espmin^2,b5 espmin espmax,b5 espmax^2,l^3,l^2 vol,l^2 espmin,l^2 espmax,l vol^2,l vol espmin,l vol espmax,l espmin^2,l espmin espmax,l espmax^2,vol^3,vol^2 espmin,vol^2 espmax,vol espmin^2,vol espmin espmax,vol espmax^2,espmin^3,espmin^2 espmax,espmin espmax^2,espmax^3,ddG er (kcal/mol)
react_1,1.446943946993725,3.036744029743056,6.042562955607844,0.0027947289214269,12.38870753651932,156.89436610500954,2.0936467857417798,4.393998392406048,8.743249892945283,0.004043816096346954,17.925765381042172,227.01735335306103,9.221814302180096,18.349716979788674,0.008486876366893388,37.62133364775785,476.44802956970904,36.5125670724842,0.01688732545158005,74.85954522803135,948.0440845697055,7.810509744259964e-06,0.03462307925140994,0.43847722256261046,153.4800744254106,1943.718415802553,24615.842115492767,3.0293895437719365,6.35786937699209,12.650992509650711,0.005851175223365019,25.937577713328636,328.4813852967473,13.343448384839654,26.5510119129532,0.012280034387960485,54.43596099945458,689.3935924429778,52.83163791473341,0.024435013343076826,108.31756584240296,1371.7666496513427,1.1301369797392461e-05,0.05009765494911165,0.6344519630815896,222.0770646739943,2812.4515964057364,35617.74374916547,28.004289525544536,55.72339348584804,0.025772471138330935,114.2463603458002,1446.850709278657,110.8793200679593,0.051282484743413674,227.32927704050448,2878.9672137502744,2.371851883513141e-05,0.10514142920803983,1.3315430877953245,466.07969969588555,5902.575294690034,74752.01158132034,220.62948520633978,0.1020427271930111,452.3435148685522,5728.616065704053,4.719549684507935e-05,0.20921213609364428,2.6495262219346456,927.4130121469209,11745.04089546127,148742.775688168,2.182825747336994e-08,9.676212093277098e-05,0.001225424975282667,0.4289352028594481,5.432166071753471,68.79460588544596,1901.4197547396304,24080.15898672448,304958.4687339749,3862086.9448512346,1.886692938390812
react_14,1.6800143454970022,9.37664954957838,3.717151639231609,51.67323982762095,27.443550761275297,149.83601039349787,2.8224482010757206,15.752905755989682,6.2448680782968005,86.81178418871023,46.105558970317674,251.72664693311435,87.92155677560844,34.8544282437156,484.52186095491754,257.3285578845434,1404.9597593668132,13.817216309042237,192.07726812964927,102.01183969861033,556.963171650115,2670.1237142828318,1418.097180208868,7742.51209987712,753.1484783866939,4112.032157100932,22450.830010640402,4.741753467229418,26.465107653324964,10.49146795727492,145.84504279522304,77.45800047729169,422.90437799149106,147.70947666145133,58.555939453538095,814.0036771111653,432.3156687520886,2360.352550582262,23.2131216140261,322.69256590168493,171.38135410420594,935.7061182857025,4485.846144246896,2382.423606059746,13007.53139797768,1265.3002479788847,6908.2730130745485,37717.71648619049,824.4096257382388,326.81775889224787,4543.191689283806,2412.879706381758,13173.815294842578,129.55919508060794,1801.0412296921215,956.5292707616364,5222.448472584796,25036.814322848666,13297.000286063852,72598.82259391795,7062.009340630236,38557.08447373226,210513.5651069321,51.360688252774075,713.9803320872551,379.1934771567215,2070.316566490861,9925.25474149762,5271.282258003116,28780.091543828803,2799.567101019891,15285.047073340816,83453.13957616217,137973.9430575548,73277.67569180584,400080.68460520747,38917.62194948342,212482.02383276593,1160107.1234689713,20669.068497382486,112848.76323539577,616130.4930297727,3363942.798816969,1.2590906904780963
react_15,0.0004268268605638,3.101821780203387,6.063096156109912,0.0032360583197561,48.82978895109185,147.83302715135702,1.8218116889874959e-07,0.001323940852472629,0.0025878922976088374,1.381236613222862e-06,0.020841865519987464,0.06309910686665672,9.62129835614411,18.806643712489162,0.010037676178227848,151.46130289123138,458.55170345147786,36.761134998234795,0.019620532759460713,296.05970569302326,896.325858667485,1.0472073448862673e-05,0.15801604478711526,0.4783962974478783,2384.348289008172,7218.6555158017945,21854.60391673386,7.775981637489669e-11,5.650935176330534e-07,1.1045819448656193e-06,5.895488873176899e-10,8.89586802818916e-06,2.6932393688274803e-05,0.00410662857190064,0.008027180693543677,4.2843498105090345e-06,0.06464775240996709,0.1957221839903769,0.015690639842058592,8.374570400309808e-06,0.1263662347203957,0.38257595229719493,4.469762233771581e-09,6.744549231519323e-05,0.00020419238974502376,1.0177038946880261,3.0811160713012384,9.32813197864484,29.843552794922843,58.334857079923964,0.031135082592255833,469.8059681660037,1422.3456611151587,114.02648920252169,0.0608593958524893,918.3244433592242,2780.2430705743077,3.2482505507571835e-05,0.49013760934226797,1.483900054992487,7395.823454436228,22390.98290269932,67789.08642664333,222.88629630203496,0.11896117675471486,1795.0384635664013,5434.509868308745,6.349318827429994e-05,0.9580664737524502,2.900562752153445,14456.532945912693,43767.40251013948,132506.5650008537,3.388824040928901e-08,0.0005113491363882968,0.0015481183184967206,7.715890117841116,23.359990239363658,70.72277282972085,116427.22373816598,352485.4253472367,1067155.6968638196,3230832.25420467,2.271235607736596
react_16,1.8505088563536003,7.058453626307248,3.852940591366892,30.83155104108265,30.79336322431605,148.27294881419226,3.4243830274431097,13.061730947642749,7.129900687328712,57.05405825664151,56.98339136351011,274.3804049383268,49.82176759472994,27.195802489080034,217.62307325060684,217.35352631686987,1046.5777332408043,14.845151200602656,118.79213450098752,118.6449991116718,571.2868630878669,950.5845395988847,949.4071499770977,4571.484989376604,948.2312186646601,4565.822769175844,21984.86735005608,6.3368511198304285,24.17084879792081,13.193944366823404,105.57904009482937,105.44827038323872,507.7433693482609,92.19562217323856,50.32607336168589,402.71342439713624,402.21462540905304,1936.701364224584,27.471083770623498,219.82589695922547,219.5536216182137,1057.1713996625645,1759.0651092405458,1756.8863393180502,8459.57345952895,1754.7102680099208,8449.095470900818,40683.19173703789,351.6646361480585,191.96031069938263,1536.0823705538737,1534.179786021978,7387.2203964059745,104.78381132497321,838.4887725452737,837.450224223,4032.4018304242463,6709.656890643353,6701.346340597875,32267.614800874442,6693.0460839613115,32227.648282165435,155179.16667088715,57.19748564578092,457.6990369539702,457.1321330400491,2201.1343441059025,3662.5457581463515,3658.0093458807146,17613.660078393565,3653.478552394364,17591.843880344797,84706.38780884775,29307.995751507067,29271.6950032877,140945.97278350795,29235.43921700747,140771.39775238236,677827.5598346855,29199.228336976736,140597.0389490843,676988.0057486836,3259761.111281672,1.0245321768682063
react_17,1.6930727357375166,7.59996909818696,7.702307555499063,85.8611636811539,30.32609237703675,144.88271808974756,2.8664952884977186,12.867300472587983,13.040566924480542,145.36919528725792,51.34428018501826,245.29697987729628,57.75953029339671,58.53729940652482,652.5421907111421,230.47736493424242,1101.1041803434143,59.32554167949795,661.3290897452935,233.58089044441272,1115.9312542039033,7372.139428681901,2603.833581394546,12439.79877247429,919.6718788605665,4393.726692625858,20991.002001073262,4.853185020075534,21.785275612681176,22.078628318398444,246.1206211569591,86.92960091732243,415.3056287890046,97.79108596875513,99.10790564889108,1104.8013920114656,390.2149427747918,1864.2494669460405,100.44245715041767,1119.6782511978656,395.469437200727,1889.3527814500007,12481.56827075688,4408.479645056879,21061.484139737247,1557.0713839233213,7438.898871567012,35539.29318382879,438.97064535560855,444.8816665809065,4959.300484667901,1751.620851331801,8368.35774449443,450.87228349738695,5026.080645796341,1775.2075493045304,8481.043047650683,56028.031845508114,19789.054755420028,94542.08625846868,6989.477859811846,33392.187089835716,159530.96654813742,456.94356791207167,5093.7600446164915,1799.111857290199,8595.24573067227,56782.485221729155,20055.527067237395,95815.1560741167,7083.595661127761,33841.834301410054,161679.15331036254,632980.4701663451,223568.18133060227,1068095.5985640325,78964.09772380145,377250.48672580376,1802311.8586455805,27890.054354888493,133244.56156002393,636575.065771111,3041233.4253428243,1.5757954989148215
react_179,1.6439957301289163,3.201190069411823,2.9436689152713007,13.645748924962168,66.6322144515982,155.1836344793907,2.7027219606821085,5.262742805444126,4.839379127619237,22.433552967049057,109.54307604746171,255.12123247000477,10.247617860500872,9.42324369920276,43.68263594827595,213.30238320537512,496.77230963065966,8.665186682734516,40.168566936007906,196.14317843686075,456.809240975806,186.20646372310617,909.2464687207448,2117.5969133688677,4439.852002723772,10340.22921200919,24081.960410233136,4.4432633630870395,8.651926700916817,7.955918622281025,36.88066528944953,180.0883492872142,419.41821684591446,16.847040006656254,15.491772405453553,71.81406697974157,350.66820721595855,816.6915558790844,14.245529907185494,66.03695252819456,322.4585478441132,750.9924416476563,306.1226312831915,1494.7973122116998,3481.3202837125914,7299.097734882199,16999.292673097396,39590.64008755688,32.80457253016262,30.16559415153541,139.8364204033529,682.821470898922,1590.262584348443,27.73890955836931,128.58721757805262,627.8915949949499,1462.3332058273027,596.0822825307004,2910.670766316616,6778.830210093548,14212.810140777532,33101.03906892586,77090.93251720698,25.507440682988435,118.24296186052102,577.3805773070991,1344.695162869157,548.1301790843007,2676.5205662934554,6233.504208958389,13069.454328822998,30438.211308171707,70889.31827839739,2540.926652170583,12407.34902307175,28896.19580410643,60585.10569315904,141100.17165363682,328616.3853789203,295837.1707788481,688992.3703332766,1604634.3504695522,3737126.1418487765,0.8606176142775799
react_18,3.1031907279828546,5.17003085065642,6.054795145554154,0.0019543457286002,24.09540496338421,144.8716175099919,9.629792694238759,16.043591799142312,18.789184155519248,0.006064707544265037,74.77263726936593,449.5642602048854,26.729218996739142,31.303477696919703,0.010104027709711631,124.57398701975617,748.9907319111549,36.660544254626146,0.011833163030262986,145.89274100246018,877.1679664280771,3.8194672268978455e-06,0.04709075176908198,0.2831292268760546,580.5885403494804,3490.740291603757,20987.78555996139,29.88308340115875,49.78632531464019,58.306422057769694,0.018819944219290927,232.0337546811216,1395.0836439002717,82.94586455690408,97.14066174269931,0.03135472510405897,386.57684146756384,2324.2610946117875,113.76466101376097,0.0367205617982216,452.7330011588385,2722.0195003031845,1.185253528434378e-05,0.1461315842635574,0.8786039916627266,1801.6769751856068,10832.432906700946,65129.10155056463,138.190886827093,161.83994542591003,0.05223813497509646,644.0513560814118,3872.3051908364023,189.53614479827212,0.06117781792730664,754.2699718695459,4534.985447640713,1.9746763396132984e-05,0.2434606394267572,1.463786837671703,3001.660665144393,18047.23499922081,108507.49883196171,221.97208538628362,0.07164737807218721,883.3506599932854,5311.07234496433,2.312609162402426e-05,0.28512485521193326,1.7142894684536358,3515.3446756724056,21135.71737199272,127076.7421243858,7.464559460416254e-09,9.203160957647767e-05,0.0005533323951870941,1.1346707339062316,6.822113378548419,41.0173890618875,13989.51599682086,84110.8009481944,505709.1923519371,3040534.4420244577,2.8730026748254267
react_180,1.662210672094186,2.9095623780693787,2.904307461239301,12.253789734769644,50.98281730013516,155.99991279012704,2.7629443184238056,4.83630563595066,4.827570857114738,20.368380070732286,84.74418300971276,259.3047198855115,8.465553231876738,8.45026372356806,35.653165601058504,148.3376871444579,453.89147723625774,8.435001829410275,35.58877295514903,148.06977667978268,453.07171066904624,150.1553628639459,624.7327232820325,1911.5901299726183,2599.247659858961,7953.315052616065,24335.97279052724,4.592595532486047,8.038958841586448,8.024439798986995,33.85653872684174,140.86268539664735,431.0190727180907,14.071532927206942,14.046118543325184,59.26307235602077,246.56848664528647,754.4632574347029,14.020750059979743,59.15603821278567,246.1231630117376,753.100632698058,249.5898466246259,1038.4373998458584,3177.4655147103986,4320.497199633404,13220.085158985756,40451.51368820811,24.631055193012198,24.586569414858086,103.73510929191715,431.5977537653404,1320.6255658929492,24.54216398179852,103.54775487195461,430.81825155663034,1318.2404039301916,436.88639465429287,1817.6988280102294,5561.890724457084,7562.673202410506,23140.666258024583,70807.03086503813,24.497838748723417,103.3607388299908,430.0401571951299,1315.8595497725648,436.09734071085273,1814.4159095083546,5551.845477310881,7549.014372137173,23098.872248899683,70679.14735204488,1839.9722440828311,7655.343431528054,23424.22351174544,31850.634292503753,97458.25034913563,298207.8935661961,132516.96856039326,405482.40825793974,1240716.4546005107,3796409.632985154,0.8048244472990138
react_181,2.178123328721169,2.1781547246033983,2.725119815119582,11.196398568729906,50.45130184516679,167.13959830838874,4.744221235119387,4.744289619222895,5.935647042872281,24.387136920210917,109.88915751331115,364.05065822858677,4.744358004312106,5.935732600413057,24.387488441021773,109.89074147644219,364.0559057237311,7.426278006757384,30.511527597622393,137.48584235684314,455.4754312413175,125.3593409098571,564.8728837697859,1871.3615592781352,2545.33385787213,8432.41032453645,27935.645322689546,10.333498948827895,10.333647897839061,12.928571295134937,53.118191846628726,239.35213755325816,792.9472315239822,10.333796848997208,12.92875765001045,53.11895750230738,239.3555876203057,792.9586612155733,16.1753493720872,66.4578700553011,299.4611206063211,992.0816624460485,273.0481049088698,1230.362805900972,4076.0562687357296,5544.051055215139,18366.829645222086,60847.28078023052,10.333945802302365,12.928944007572115,53.11972316902234,239.35903773708318,792.9700910719142,16.175582526636905,66.4588279916282,299.4654370956359,992.095962499046,273.05204067597333,1230.3805405835053,4076.1150217828526,5544.130968217175,18367.09438818354,60848.157844461064,20.2374973488013,83.14756844584876,374.66539330504037,1241.225122975851,341.6192239237824,1539.346288584784,5099.684466441924,6936.339732182111,22979.328464613223,76127.98061701395,1403.5731451400484,6324.541947354365,20952.50988387788,28498.572363219286,94412.62688858318,312778.6193075075,128415.4067602297,425426.07856548927,1409389.674414532,4669152.537719949,0.8048244472990138
react_182,2.930593855902662,2.930731573084388,2.8762470620674394,21.39384918286807,54.81746064718287,160.70290599941106,8.588380348254432,8.58878394138105,8.42911196815292,62.69668296942135,160.6477133688201,470.9549489475771,8.589187553473693,8.429508076792256,62.69962927003709,160.6552626750098,470.97708049888655,8.272797162051576,61.53399585853818,157.66856013645722,462.22126124650595,457.6967828593048,1172.7564856736358,3438.053734200025,3004.9539918054425,8809.325225510644,25825.423996655547,25.169054680749603,25.170237448286755,24.702303744584544,183.7385138956633,470.79320176347613,1380.1776797927214,25.171420271405623,24.703464578129253,183.74714830614542,470.815325713812,1380.2425383810105,24.24420853423733,180.33115019217183,462.0625136049209,1354.5827882765896,1341.3233797138935,3436.8729513851554,10075.539149709797,8806.299705655209,25816.554380529826,75683.82889067991,25.172603150108802,24.704625466224925,183.75578312238375,470.83745070381707,1380.3074000171944,24.245347840547478,180.33962448066183,462.08422727466973,1354.6464440860223,1341.386412424914,3437.0344601032134,10076.012628780694,8806.713539450177,25817.76757597279,75687.38549528962,23.794608532430697,176.98697480539042,453.4937328728885,1329.462544685369,1316.4490270167942,3373.13739643933,9888.69195222281,8642.990090578229,25337.79579867157,74280.29989702646,9791.895943975882,25089.775382732143,73553.20307207172,64287.53250214301,188465.37527740997,552505.2260680707,164723.94719238993,482904.83887766505,1415684.1636334776,4150220.684929471,0.94147487006162
