,b1,b5,l,vol,espmin,espmax,b1^2,b1 b5,b1 l,b1 vol,b1 espmin,b1 espmax,b5^2,b5 l,b5 vol,b5 espmin,b5 espmax,l^2,l vol,l espmin,l espmax,vol^2,vol espmin,vol espmax,espmin^2,espmin espmax,espmax^2,ddG er (kcal/mol)
react_1,1.446943946993725,3.036744029743056,6.042562955607844,0.0027947289214269,12.38870753651932,156.89436610500954,2.0936467857417798,4.393998392406048,8.743249892945283,0.004043816096346954,17.925765381042172,227.01735335306103,9.221814302180096,18.349716979788674,0.008486876366893388,37.62133364775785,476.44802956970904,36.5125670724842,0.01688732545158005,74.85954522803135,948.0440845697055,7.810509744259964e-06,0.03462307925140994,0.43847722256261046,153.4800744254106,1943.718415802553,24615.842115492767,1.886692938390812
react_14,1.6800143454970022,9.37664954957838,3.717151639231609,51.67323982762095,27.443550761275297,149.83601039349787,2.8224482010757206,15.752905755989682,6.2448680782968005,86.81178418871023,46.105558970317674,251.72664693311435,87.92155677560844,34.8544282437156,484.52186095491754,257.3285578845434,1404.9597593668132,13.817216309042237,192.07726812964927,102.01183969861033,556.963171650115,2670.1237142828318,1418.097180208868,7742.51209987712,753.1484783866939,4112.032157100932,22450.830010640402,1.2590906904780963
react_15,0.0004268268605638,3.101821780203387,6.063096156109912,0.0032360583197561,48.82978895109185,147.83302715135702,1.8218116889874959e-07,0.001323940852472629,0.0025878922976088374,1.381236613222862e-06,0.020841865519987464,0.06309910686665672,9.62129835614411,18.806643712489162,0.010037676178227848,151.46130289123138,458.55170345147786,36.761134998234795,0.019620532759460713,296.05970569302326,896.325858667485,1.0472073448862673e-05,0.15801604478711526,0.4783962974478783,2384.348289008172,7218.6555158017945,21854.60391673386,2.271235607736596
react_16,1.8505088563536003,7.058453626307248,3.852940591366892,30.83155104108265,30.79336322431605,148.27294881419226,3.4243830274431097,13.061730947642749,7.129900687328712,57.05405825664151,56.98339136351011,274.3804049383268,49.82176759472994,27.195802489080034,217.62307325060684,217.35352631686987,1046.5777332408043,14.845151200602656,118.79213450098752,118.6449991116718,571.2868630878669,950.5845395988847,949.4071499770977,4571.484989376604,948.2312186646601,4565.822769175844,21984.86735005608,1.0245321768682063
react_17,1.6930727357375166,7.59996909818696,7.702307555499063,85.8611636811539,30.32609237703675,144.88271808974756,2.8664952884977186,12.867300472587983,13.040566924480542,145.36919528725792,51.34428018501826,245.29697987729628,57.75953029339671,58.53729940652482,652.5421907111421,230.47736493424242,1101.1041803434143,59.32554167949795,661.3290897452935,233.58089044441272,1115.9312542039033,7372.139428681901,2603.833581394546,12439.79877247429,919.6718788605665,4393.726692625858,20991.002001073262,1.5757954989148215
react_179,1.6439957301289163,3.201190069411823,2.9436689152713007,13.645748924962168,66.6322144515982,155.1836344793907,2.7027219606821085,5.262742805444126,4.839379127619237,22.433552967049057,109.54307604746171,255.12123247000477,10.247617860500872,9.42324369920276,43.68263594827595,213.30238320537512,496.77230963065966,8.665186682734516,40.168566936007906,196.14317843686075,456.809240975806,186.20646372310617,909.2464687207448,2117.5969133688677,4439.852002723772,10340.22921200919,24081.960410233136,0.8606176142775799
react_18,3.1031907279828546,5.17003085065642,6.054795145554154,0.0019543457286002,24.09540496338421,144.8716175099919,9.629792694238759,16.043591799142312,18.789184155519248,0.006064707544265037,74.77263726936593,449.5642602048854,26.729218996739142,31.303477696919703,0.010104027709711631,124.57398701975617,748.9907319111549,36.660544254626146,0.011833163030262986,145.89274100246018,877.1679664280771,3.8194672268978455e-06,0.04709075176908198,0.2831292268760546,580.5885403494804,3490.740291603757,20987.78555996139,2.8730026748254267
react_180,1.662210672094186,2.9095623780693787,2.904307461239301,12.253789734769644,50.98281730013516,155.99991279012704,2.7629443184238056,4.83630563595066,4.827570857114738,20.368380070732286,84.74418300971276,259.3047198855115,8.465553231876738,8.45026372356806,35.653165601058504,148.3376871444579,453.89147723625774,8.435001829410275,35.58877295514903,148.06977667978268,453.07171066904624,150.1553628639459,624.7327232820325,1911.5901299726183,2599.247659858961,7953.315052616065,24335.97279052724,0.8048244472990138
react_181,2.178123328721169,2.1781547246033983,2.725119815119582,11.196398568729906,50.45130184516679,167.13959830838874,4.744221235119387,4.744289619222895,5.935647042872281,24.387136920210917,109.88915751331115,364.05065822858677,4.744358004312106,5.935732600413057,24.387488441021773,109.89074147644219,364.0559057237311,7.426278006757384,30.511527597622393,137.48584235684314,455.4754312413175,125.3593409098571,564.8728837697859,1871.3615592781352,2545.33385787213,8432.41032453645,27935.645322689546,0.8048244472990138
react_182,2.930593855902662,2.930731573084388,2.8762470620674394,21.39384918286807,54.81746064718287,160.70290599941106,8.588380348254432,8.58878394138105,8.42911196815292,62.69668296942135,160.6477133688201,470.9549489475771,8.589187553473693,8.429508076792256,62.69962927003709,160.6552626750098,470.97708049888655,8.272797162051576,61.53399585853818,157.66856013645722,462.22126124650595,457.6967828593048,1172.7564856736358,3438.053734200025,3004.9539918054425,8809.325225510644,25825.423996655547,0.94147487006162
