,b1,b5,l,vol,espmin,espmax,ddG er (kcal/mol)
react_231,1.6734240899738315,7.884371862228857,5.248302543259904,40.11807484472316,1.4901363193771144,146.12514071642155,0.38437566560613473
react_232,3.096511713929477,7.844461856444362,6.704784252539404,31.89070176297547,41.76928646693579,140.97921172806988,2.3292471631268454
react_233,3.108367853960513,7.309214209104683,6.046869659007911,31.14425993126613,31.01258880288885,139.95679988256722,2.112330669903123
react_234,1.6668503376180692,6.086715401807381,4.374872722017953,42.55528782871155,22.955647654910543,137.85294386577516,0.17518900765016063
react_235,1.6406791755005992,8.058243098678963,5.58383035991086,46.30263142937533,27.2838699327216,148.22268580773294,1.988440635339029
react_236,2.726029393727637,8.007499572153632,6.047738938111117,0.0095651822072699,29.72560867410048,132.133940913595,2.494054670518096
react_237,3.100473667171219,7.38227537374796,6.825453540587504,2.4121104615678304,28.29385658873049,143.72411391087817,3.151349098385578
react_238,3.337676789212826,6.419622760076417,5.851076501840738,121.6768976079792,31.64698525106207,139.5736661324009,0.0
react_239,1.6876145099585795,7.956473490924987,5.993658695507948,41.66863350527596,18.20649597860395,131.08088828272864,0.17518900765016063
react_24,1.675879039748352,5.980692050844755,9.80195608605172,39.00408572695768,17.5846209171261,142.98010994449805,0.3005421108594009
react_240,3.107912960403222,7.473975240418329,6.061573581470269,40.43446961942195,32.568899196070305,141.21084818892055,1.255752230391482
react_241,2.214085735565044,3.230521530696073,12.45928528585086,42.860946592737854,16.6752574752526,141.5148064965943,2.2712356077365956
react_242,3.101370663765277,6.368428884271748,10.148000195411884,0.002331739772291,13.57934858381904,135.85788657023537,0.4780959413874129
react_243,1.6653121624668183,7.959731566625327,5.833690672515584,77.07232530326213,15.608448079799238,133.76384436228184,0.09251372709287459
react_244,1.923671241858247,8.262732551308597,8.288786377437955,112.67415226250525,13.981314708912354,133.89004147382255,0.8230152121319365
react_245,3.118078328138616,6.757150406211378,6.070154273420973,3.307987159957208,33.74398058132765,140.68588016775175,0.658894347408457
react_246,2.137697508780672,8.621757205537232,8.167153159626718,141.2434404267721,21.13788148816058,131.6306884851104,1.4470889050346116
react_247,1.6860192741021984,13.368076580876188,4.115446704216099,90.52420108102297,21.422943414941503,145.11194171393896,0.8230152121319365
react_248,4.624190339428424,6.341993394229615,5.503256045151504,103.70659190869904,28.65271463308096,138.20769919046634,0.0
react_249,1.686631115806872,10.50139064770239,9.781248755956796,91.60240706183544,9.452774277588,144.53531309722146,0.7870098645125718
react_25,1.6812727681942428,11.885724298423389,3.7255420647780886,61.689639340634,2.419430654254046,144.29315223580957,1.5435335641084713
react_250,1.6631550676550908,9.890386726361005,8.747190438248376,142.41804159308236,6.646366565922858,140.47942559914108,0.6869551246443248
react_251,1.666276893884702,11.94440105707593,7.952269371166387,133.8160898907718,1.1806822837738529,145.58179928075137,1.1347740141156684
react_252,1.6739990477918438,10.875158954252417,9.247370389753032,150.38309845490463,1.3654546432040446,133.7889520201517,0.6869551246443248
react_253,3.12355858943606,4.732003436334937,6.059337807002677,0.0005906911236652,47.4153593901155,136.08883308442486,1.8866929383908122
react_254,1.7780803752396568,7.651811665456957,8.667625497284353,113.24299031734184,6.191547702791659,145.07733563348972,2.8730026748254267
react_255,1.6867338891022097,15.173528139503295,5.052623139625488,1.810794123414926,-1.4140616521746785,144.78270192827247,0.9069268797568273
react_26,1.6797300649222155,11.29032794934667,5.463326332192909,98.98227511461,-15.856650476876782,144.5074327260119,1.5981284553068844
react_27,1.6558939578812384,9.38771831738869,5.031342744071569,68.81839947852272,15.771213431147812,144.41978333289904,0.32410061470307666
react_28,1.681007897670105,15.507670841359078,3.724796655336888,69.39096073400823,6.760301514929835,142.93029774084127,1.5981284553068844
react_29,1.6876527445655591,17.882099306174585,4.582440955191147,115.61824056602124,-14.824337661470333,143.68489914988476,1.525268925130999
react_3,0.9734823329081658,2.872012177800761,5.35427467814436,0.0020410200508677,51.04607144687834,143.5037167093758,1.661527042252833
react_30,2.4565814530561094,8.930936597484028,8.349755850577024,163.0850916260446,5.793044112197341,142.75446657558203,1.4470889050346116
react_311,1.6803414391534943,5.182396565860253,3.717043369772801,30.387699150706,44.38484144066897,145.49228693752693,1.1925691598929764
react_312,1.6587939326252807,9.158364285721465,5.590627961799092,76.31380541059009,15.676604958023727,142.44983482474612,0.459880754927536
react_313,1.8455568961492488,4.352761401593858,3.856239872370819,9.382839676186023,33.68915137671525,152.64594558689203,0.7528553442398
react_357,1.666553891620188,12.072901456152524,5.527337404736304,92.02067063592412,1.2509731334495695,144.32305067747143,0.8763409472136713
react_363,1.6647447838046163,11.599778670413242,9.495702554269595,174.8674595474959,0.6223648953693504,147.03173991633318,0.4342740435359016
react_364,1.6653556120651674,10.427700280505306,5.720196646518063,78.457081437222,0.5500117985747124,143.60992538529473,0.7870098645125718
react_367,1.6918586916128375,6.230550656488029,7.69627605834983,75.10377411972067,17.21781596735832,148.11682966663366,0.36438199655709186
react_368,1.642252798789354,8.536312001824848,3.4674141113858514,47.91985629772434,0.639708190326413,152.4646941830924,1.7151132512496416
react_369,0.0303004649415224,4.613157219415042,6.066830434033268,0.0076086156157207,52.51724493210986,146.95811680312423,2.5837498498549607
react_4,0.0744807911627176,5.65314411946652,6.060941645067754,0.001575214339713,39.03493585584875,147.49938325323328,3.2505783702049342
react_5,1.6865276094397172,6.830130625201649,7.776590305530837,83.5432911585096,-7.481391094536122,145.76465309273107,1.988440635339029
react_79,1.683933511171592,4.425591501643895,3.7148685369938335,27.124826275373525,53.61298552612957,151.20087561705768,1.163063982201545
react_80,1.6897709549438948,3.412654916377794,3.211142806612351,15.714770698925983,68.87478614283371,154.67856942705393,0.8731496586803169
react_81,3.1296722602531672,3.129819330620413,3.6290801472849976,7.303280025640207,56.38586465385468,145.82833174963002,0.8418164132047582
react_82,1.7024099173873892,4.951614125432211,3.659173226154077,0.0027052163327119,47.313336767113285,144.43886539384374,1.4486917179494059
react_83,0.0067456568481396,4.166852287639975,8.168074951279566,0.0073526496420132,37.09280509346041,138.78040311196094,2.373650860962769
react_85,2.283828040629363,3.955996237281703,8.1648485809063,34.41510368819,16.94060004247209,147.8228051476089,2.112330669903123
react_93,2.872323258981482,9.949698884738693,8.937117578880647,92.42384291148252,7.759973986049619,141.27830081326798,1.3635830574449357
react_94,2.438552149591417,6.460600809450325,7.581815033331953,118.22899330543434,26.15146508994525,138.41379978098556,1.4470889050346116
react_95,2.344129087137264,9.608571597295205,7.686644476969745,169.85436791121228,4.283821276558282,145.47028476126823,1.4470889050346116
react_96,2.8726915518400142,7.644978038162069,8.95876675444702,22.74846671185436,7.588335713560332,141.0967750623285,1.3635830574449357
