,b1,b5,l,vol,espmin,espmax,ddG er (kcal/mol)
react_1,1.446943946993725,3.036744029743056,6.042562955607844,0.0027947289214269,12.38870753651932,156.89436610500954,1.8866929383908122
react_14,1.6800143454970022,9.37664954957838,3.717151639231609,51.67323982762095,27.443550761275297,149.83601039349787,1.2590906904780965
react_15,0.0004268268605638,3.101821780203387,6.063096156109912,0.0032360583197561,48.82978895109185,147.83302715135702,2.2712356077365956
react_16,1.8505088563536003,7.058453626307248,3.852940591366892,30.83155104108265,30.79336322431605,148.27294881419226,1.0245321768682065
react_17,1.6930727357375166,7.59996909818696,7.702307555499063,85.8611636811539,30.32609237703675,144.88271808974756,1.5757954989148217
react_179,1.6439957301289163,3.201190069411823,2.9436689152713007,13.645748924962168,66.6322144515982,155.1836344793907,0.8606176142775799
react_18,3.1031907279828546,5.17003085065642,6.054795145554154,0.0019543457286002,24.09540496338421,144.8716175099919,2.8730026748254267
react_180,1.662210672094186,2.9095623780693787,2.904307461239301,12.253789734769644,50.98281730013516,155.99991279012704,0.8048244472990138
react_181,2.178123328721169,2.1781547246033983,2.725119815119582,11.196398568729906,50.45130184516679,167.13959830838874,0.8048244472990138
react_182,2.930593855902662,2.930731573084388,2.8762470620674394,21.39384918286807,54.81746064718287,160.70290599941106,0.9414748700616201
react_183,1.6593087284723316,2.907247169159015,2.907377400456329,12.204276167020277,52.68576479629296,153.70462026334403,0.8048244472990138
react_184,1.664788464727418,1.6648159576461867,2.3545511157756205,5.651465352774283,67.14057612493035,150.28600634435222,0.3966976844670258
react_185,1.6821416817567505,3.092167531332264,3.694910056510551,19.07909664612412,55.95854645595335,149.73227021432805,0.8416047555871515
react_186,3.367004436519638,3.367123620719554,4.114057519886007,40.39327137053217,49.59404164402142,145.76971132105876,0.5262302315478604
react_187,1.6832283606446252,8.140692716600398,3.715988334447045,43.32455340548523,27.768616542206864,148.00391191047592,1.0974157146300159
react_188,1.6802947166025832,5.935062463563118,3.716891433858722,36.46408910513627,16.542762176673435,142.54878854993925,0.6869551246443248
react_189,1.691545029634966,4.189815424135479,4.123324355137604,11.87624066341578,48.9348826681863,145.0103624263766,1.1925691598929764
react_19,2.452949746151502,5.198036916977613,7.934501203737916,88.44059084502231,11.417555057010848,144.0595462737395,2.2712356077365956
react_190,1.6865705821392678,5.6625536605898334,5.769181557001218,51.99912041070359,38.159951022242,147.30835525190662,1.3256122210632166
react_191,0.000231993990337,3.103308971162611,7.343027322808733,0.0039039371534281,37.41983698706025,144.77143844705864,2.494054670518096
react_192,3.340258291283837,4.78611852152492,4.147924935940502,24.063413630633697,45.43114194414701,140.07067986174468,0.3966976844670258
react_193,1.6761185209538945,6.059113129875943,3.3836582558439305,29.236452884618355,36.28769940056675,146.2468858992835,0.5126175079350523
react_194,1.665780162537674,7.291984025665322,3.9551593718522216,43.89932008674096,33.62022862318385,149.47788722548654,0.7695506037328774
react_195,1.642296737369448,7.186229351770494,3.02866879081248,35.52516709976987,30.64512076386517,154.0028541158868,1.285589821380927
react_196,1.6925671198953771,5.78780709004236,7.696082488305684,65.30407455361829,35.832441908316724,150.29251656684025,0.32410061470307666
react_197,1.6424280319575826,8.45173785751965,3.03172418665185,41.76483762317751,26.62267067259897,152.4641749190068,1.7249256291987816
react_198,2.223647119784436,3.1001873591557194,8.167219733329864,26.98885845524554,23.81829251480941,143.29393728184365,2.494054670518096
react_199,0.0002126949556563,2.6909065689778564,8.677401681123355,0.0017340087087613,37.22759105260521,147.6020419825842,1.008155128006235
react_2,1.6886559082078831,3.2185092269571536,5.654304640417105,27.899663160854537,45.07973281369924,151.67140800755303,0.8416047555871515
react_20,1.6796450699336958,8.10125746524117,7.838033696600846,99.89782444600672,-20.47375790841053,144.03259932286505,1.4470889050346116
